Created on 08-17-2020,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume USD
1575244800.0,2019-12-02,XRPUSD,0.2253,0.2266,0.2173,0.2191,8327266.27,1835312.08
1575158400.0,2019-12-01,XRPUSD,0.2259,0.2259,0.2189,0.2253,5470771.35,1212830.86
1575072000.0,2019-11-30,XRPUSD,0.2302,0.2319,0.2241,0.2259,2621975.87,596874.39
1574985600.0,2019-11-29,XRPUSD,0.2238,0.2326,0.2231,0.2302,4305793.34,984339.43
1574899200.0,2019-11-28,XRPUSD,0.2245,0.2298,0.2227,0.2238,6832431.86,1546226.26
1574812800.0,2019-11-27,XRPUSD,0.221,0.2299,0.2126,0.2245,14749469.57,3271352.96
1574726400.0,2019-11-26,XRPUSD,0.2183,0.2218,0.2137,0.221,13139001.48,2864750.29
1574640000.0,2019-11-25,XRPUSD,0.2196,0.2251,0.2002,0.2183,44689979.22,9546389.27
1574553600.0,2019-11-24,XRPUSD,0.2345,0.235,0.2187,0.2196,9075259.66,2060664.16
1574467200.0,2019-11-23,XRPUSD,0.2307,0.235,0.2264,0.2345,6172242.81,1426354.7
1574380800.0,2019-11-22,XRPUSD,0.243,0.2457,0.2218,0.2307,22330580.74,5172650.11
1574294400.0,2019-11-21,XRPUSD,0.2497,0.2527,0.2345,0.243,16108107.44,3908562.02
1574208000.0,2019-11-20,XRPUSD,0.2535,0.2586,0.2477,0.2497,9969850.44,2507432.65
1574121600.0,2019-11-19,XRPUSD,0.2515,0.256,0.243,0.2535,10953136.81,2723930.7
1574035200.0,2019-11-18,XRPUSD,0.2629,0.2632,0.24,0.2515,16821575.26,4263873.88
1573948800.0,2019-11-17,XRPUSD,0.262,0.266,0.259,0.2629,4623933.64,1216818.02
1573862400.0,2019-11-16,XRPUSD,0.2607,0.2642,0.259,0.262,3934529.26,1026833.48
1573776000.0,2019-11-15,XRPUSD,0.268,0.269,0.252,0.2607,14086260.34,3676649.56
1573689600.0,2019-11-14,XRPUSD,0.2717,0.2722,0.2565,0.268,15005184.57,4007034.41
1573603200.0,2019-11-13,XRPUSD,0.2717,0.2765,0.27,0.2717,8987749.74,2450455.96
1573516800.0,2019-11-12,XRPUSD,0.2742,0.276,0.2668,0.2717,15044687.54,4090759.38
1573430400.0,2019-11-11,XRPUSD,0.2788,0.2808,0.268,0.2742,11815200.79,3242374.53
1573344000.0,2019-11-10,XRPUSD,0.2802,0.285,0.277,0.2788,9229782.98,2582366.27
1573257600.0,2019-11-09,XRPUSD,0.2754,0.2823,0.2746,0.2802,11302645.52,3150338.96
1573171200.0,2019-11-08,XRPUSD,0.2901,0.2906,0.2702,0.2754,17316418.16,4824549.99
1573084800.0,2019-11-07,XRPUSD,0.3104,0.315,0.2746,0.2901,23522191.22,6919217.33
